id,required,area,scenario,expected,test_type
AC-C001,yes,CurrentState,Remote source reconciliation,"Actual PR head, worktree and status reports are reconciled",source
AC-C002,yes,CurrentState,No worktree theft,Existing uncommitted work is not stashed/reset/overwritten,git-safety
AC-C003,yes,V02,Committed implementation,v0.2 implementation is covered by committed/pushed SHA,git
AC-C004,yes,V02,Stale report correction,PROJECT_STATUS/P17 reflect actual Git state,docs
AC-C005,yes,V02,Fresh migrations 001-014,Real PostgreSQL fresh install passes,real-db
AC-C006,yes,V02,Upgrade to 014,Existing v0.1 data upgrades without loss,real-db
AC-C007,yes,V02,Real providers,Locked CRS/Geometry/H3/Spatial execute through Gateway,real-provider
AC-C008,yes,V02,Real DAG,Required exact cross-capability DAGs pass,real-e2e
AC-C009,yes,V02,Scope attacks,Cross-scope access is denied without leakage,security
AC-C010,yes,V02,Restart/idempotency,Gateway/provider/DB restart preserves results,recovery
AC-C011,yes,V02,Stacked branch,v0.3/v0.4 branch starts at exact v0.2 candidate,git
AC-C012,yes,V02,No automatic merge,PR #1 remains user-controlled,github
AC-G001,yes,Reference,ReferenceKey immutable,Existing keys remain stable through upgrade,real-db
AC-G002,yes,Reference,Entity kind extension,New identity kinds register without changing old migrations,migration
AC-G003,yes,Reference,Canonical name,Exact canonical name resolves correctly,real-db
AC-G004,yes,Reference,Alias,Exact alias resolves correctly,real-db
AC-G005,yes,Reference,Code,Exact equipment/feature code resolves correctly,real-db
AC-G006,yes,Reference,External ID,Authorized external identifier resolves,real-db
AC-G007,yes,Reference,Pinyin,Configured pinyin alias resolves deterministically,real-db
AC-G008,yes,Reference,Fuzzy limit,pg_trgm query is bounded and indexed,performance
AC-G009,yes,Reference,Ambiguous road,"Same road name returns multiple candidates, not arbitrary first",real-e2e
AC-G010,yes,Reference,Scope before rank,Unauthorized candidates never enter rank/count,security
AC-G011,yes,Reference,No scope leakage,No result/count/timing detail reveals other scope,security
AC-G012,yes,Reference,Score separation,matchScore and stateConfidence remain separate,contract
AC-G013,yes,Reference,Descriptor version,Name/descriptor history is append-only/versioned,real-db
AC-G014,yes,Reference,Retirement,Retired name/reference validates as expired/retired,real-db
AC-G015,yes,Reference,Batch get,"Batch access is ordered, bounded and scope-safe",real-e2e
AC-G016,yes,Reference,Provider manifest,Reference operations register with correct schema hashes,contract
AC-G017,yes,Reference,Gateway direct,reference.resolve works through real Gateway,real-e2e
AC-G018,yes,Reference,Gateway DAG,reference.resolve can feed world.get-current-state,real-e2e
AC-G019,yes,Catalog,Vector dataset,Versioned vector dataset can be registered/read,real-db
AC-G020,yes,Catalog,Current projection dataset,Current projection is exposed honestly,real-db
AC-G021,yes,Catalog,Future kinds,Raster/Elevation/Network kinds validate without fake implementation,contract
